Gene ID,HMMER,Hotpep,DIAMOND,#ofTools,genome_name
NODE_2_length_215086_cov_17.719979_140,-,-,GT2,1,CM07_211_S182
NODE_2_length_215086_cov_17.719979_193,-,-,GH13_30,1,CM07_211_S182
NODE_3_length_199777_cov_17.316063_29,-,-,GT2,1,CM07_211_S182
NODE_3_length_199777_cov_17.316063_55,-,-,GT4,1,CM07_211_S182
NODE_3_length_199777_cov_17.316063_102,-,-,CBM32,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_10,-,-,GT4,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_11,-,-,GT4,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_15,-,-,GT0,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_25,-,-,GT0,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_44,-,-,GH3,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_62,-,-,GH23,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_123,-,-,GH23,1,CM07_211_S182
NODE_4_length_190347_cov_22.612491_140,-,-,GH23,1,CM07_211_S182
NODE_5_length_188283_cov_22.936537_7,-,-,GH1,1,CM07_211_S182
NODE_5_length_188283_cov_22.936537_70,-,-,CBM50,1,CM07_211_S182
NODE_5_length_188283_cov_22.936537_142,-,-,CBM48+GH13_9,1,CM07_211_S182
NODE_6_length_153229_cov_24.244562_20,-,-,GH13_11,1,CM07_211_S182
NODE_6_length_153229_cov_24.244562_50,-,-,GT58,1,CM07_211_S182
NODE_6_length_153229_cov_24.244562_123,-,-,GH84,1,CM07_211_S182
NODE_6_length_153229_cov_24.244562_128,-,-,GH4,1,CM07_211_S182
NODE_8_length_140109_cov_23.388593_125,-,-,GH23,1,CM07_211_S182
NODE_14_length_105503_cov_21.827000_15,-,-,GH13_31,1,CM07_211_S182
NODE_14_length_105503_cov_21.827000_81,-,-,GH25,1,CM07_211_S182
NODE_14_length_105503_cov_21.827000_85,-,-,GT2,1,CM07_211_S182
NODE_17_length_90924_cov_19.560173_64,-,-,GH1,1,CM07_211_S182
NODE_18_length_86497_cov_19.310721_81,-,-,GH23,1,CM07_211_S182
NODE_20_length_81591_cov_24.616297_50,-,-,GH13_29,1,CM07_211_S182
NODE_20_length_81591_cov_24.616297_61,-,-,GT2,1,CM07_211_S182
NODE_21_length_79793_cov_21.713303_61,-,-,GH23,1,CM07_211_S182
NODE_24_length_77072_cov_17.986172_38,-,-,GH130,1,CM07_211_S182
NODE_25_length_74272_cov_24.017722_5,-,-,GH13,1,CM07_211_S182
NODE_26_length_72785_cov_18.970368_13,-,-,CBM50,1,CM07_211_S182
NODE_26_length_72785_cov_18.970368_15,-,-,GH73,1,CM07_211_S182
NODE_27_length_70201_cov_21.982633_74,-,-,GH38,1,CM07_211_S182
NODE_28_length_68489_cov_16.897399_40,-,-,GH13,1,CM07_211_S182
NODE_28_length_68489_cov_16.897399_43,-,-,GH28,1,CM07_211_S182
NODE_29_length_58422_cov_16.799811_6,-,-,GH23,1,CM07_211_S182
NODE_30_length_57858_cov_17.141588_48,-,-,GH152,1,CM07_211_S182
NODE_31_length_54836_cov_19.299475_20,-,-,CBM50,1,CM07_211_S182
NODE_31_length_54836_cov_19.299475_35,-,-,GT2,1,CM07_211_S182
NODE_32_length_53521_cov_18.888677_30,-,-,GT30,1,CM07_211_S182
NODE_34_length_50125_cov_16.864895_11,-,-,GT2,1,CM07_211_S182
NODE_35_length_49678_cov_24.687191_29,-,-,GH13_23,1,CM07_211_S182
NODE_35_length_49678_cov_24.687191_31,-,-,GH13_31,1,CM07_211_S182
NODE_36_length_47844_cov_18.734141_26,-,-,GH23,1,CM07_211_S182
NODE_38_length_46022_cov_22.274605_23,-,-,CBM50,1,CM07_211_S182
NODE_39_length_45331_cov_17.036767_17,-,-,GH28,1,CM07_211_S182
NODE_39_length_45331_cov_17.036767_22,-,-,GH13,1,CM07_211_S182
NODE_46_length_35427_cov_16.863541_26,-,-,GT4,1,CM07_211_S182
NODE_46_length_35427_cov_16.863541_31,-,-,GT83,1,CM07_211_S182
NODE_50_length_27733_cov_17.393175_16,-,-,GH5_11,1,CM07_211_S182
NODE_55_length_24247_cov_19.264179_4,-,-,CBM50+GH25,1,CM07_211_S182
NODE_10_length_178616_cov_20.836365_149,GH18(48-296),-,GH18,2,CM07_212_S183
NODE_10_length_178616_cov_20.836365_151,GH25(6-181),GH25(55)+GH73(29)+CBM50(150),CBM50+GH25,3,CM07_212_S183
NODE_10_length_178616_cov_20.836365_27,GH1(1-476),GH1(1),GH1,3,CM07_212_S183
NODE_11_length_164381_cov_19.998575_152,GT51(309-503),-,GT51,2,CM07_212_S183
NODE_11_length_164381_cov_19.998575_154,GT51(73-270),-,GT51,2,CM07_212_S183
NODE_11_length_164381_cov_19.998575_53,GH1(5-486),GH1(1),GH1,3,CM07_212_S183
NODE_12_length_150407_cov_23.538342_10,GT2_Glycos_transf_2(7-120),-,GT2,2,CM07_212_S183
NODE_12_length_150407_cov_23.538342_13,GT4(226-375),-,GT4,2,CM07_212_S183
NODE_12_length_150407_cov_23.538342_22,GT4(195-335),-,GT4,2,CM07_212_S183
NODE_12_length_150407_cov_23.538342_27,GH109(2-174),-,-,1,CM07_212_S183
NODE_12_length_150407_cov_23.538342_5,GT2_Glycos_transf_2(7-138),-,GT2,2,CM07_212_S183
NODE_13_length_126818_cov_22.633163_17,GH32(9-308),GH32(38)+CBM38(7),GH32,3,CM07_212_S183
NODE_14_length_124752_cov_22.951759_19,GT14(3-256),-,GT0,2,CM07_212_S183
NODE_14_length_124752_cov_22.951759_61,GH1(6-257),GH1(48),-,2,CM07_212_S183
NODE_15_length_116913_cov_26.654162_100,GH1(2-486),GH1(1),GH1,3,CM07_212_S183
NODE_15_length_116913_cov_26.654162_54,GH1(2-458),GH1(11),GH1,3,CM07_212_S183
NODE_15_length_116913_cov_26.654162_98,GH1(2-391),-,GH1,2,CM07_212_S183
NODE_16_length_114176_cov_23.006594_38,GH112(6-717),GH112(1),GH112,3,CM07_212_S183
NODE_17_length_104734_cov_20.394591_11,GH1(2-470),GH1(1),GH1,3,CM07_212_S183
NODE_18_length_102044_cov_25.898849_21,GT2_Glycos_transf_2(5-150),GT2(193),GT2,3,CM07_212_S183
NODE_18_length_102044_cov_25.898849_74,GH109(1-135),-,-,1,CM07_212_S183
NODE_18_length_102044_cov_25.898849_82,GH1(6-478),GH1(7),GH1,3,CM07_212_S183
NODE_18_length_102044_cov_25.898849_84,GH1(1-476),GH1(57),GH1,3,CM07_212_S183
NODE_1_length_297271_cov_23.183921_236,GH1(7-473),GH1(11),GH1,3,CM07_212_S183
NODE_1_length_297271_cov_23.183921_237,GH1(5-480),GH1(11),GH1,3,CM07_212_S183
NODE_20_length_97048_cov_20.194891_103,GT51(45-213),GT51(58),GT51,3,CM07_212_S183
NODE_20_length_97048_cov_20.194891_64,GH109(2-165),-,-,1,CM07_212_S183
NODE_20_length_97048_cov_20.194891_85,CE1(14-249),-,-,1,CM07_212_S183
NODE_21_length_96735_cov_22.857765_68,GH31(472-719)+CBM32(1739-1870),GH31(15)+CBM32(38)+CBM51(2),CBM32+GH31,3,CM07_212_S183
NODE_22_length_95322_cov_22.012679_20,GH170(3-359),-,GH170,2,CM07_212_S183
NODE_22_length_95322_cov_22.012679_23,CBM66(237-391)+GH32(524-831)+CBM66(1094-1257),GH32(3)+CBM38(1)+CBM66(1),CBM66+GH32,3,CM07_212_S183
NODE_22_length_95322_cov_22.012679_55,GH1(9-488),GH1(45),GH1,3,CM07_212_S183
NODE_24_length_78069_cov_26.179351_68,GH38(5-277),-,GH38,2,CM07_212_S183
NODE_29_length_72790_cov_21.436894_1,CE4(241-356),CE4(67),CE4,3,CM07_212_S183
NODE_29_length_72790_cov_21.436894_41,GH112(6-720),GH112(1),GH112,3,CM07_212_S183
NODE_2_length_262997_cov_23.173493_168,GH1(3-459),-,GH1,2,CM07_212_S183
NODE_2_length_262997_cov_23.173493_242,GH109(1-149),-,-,1,CM07_212_S183
NODE_2_length_262997_cov_23.173493_36,GH1(7-467),GH1(66),GH1,3,CM07_212_S183
NODE_32_length_69176_cov_26.584990_34,CE4(44-150),CE4(84),CE4,3,CM07_212_S183
NODE_32_length_69176_cov_26.584990_39,GH13_29(25-368),GH13(3),GH13_29,3,CM07_212_S183
NODE_32_length_69176_cov_26.584990_63,GH1(7-477),GH1(11),GH1,3,CM07_212_S183
NODE_32_length_69176_cov_26.584990_7,GH1(7-480),GH1(2),GH1,3,CM07_212_S183
NODE_35_length_53580_cov_21.335192_1,CE4(240-369),CE4(67),CE4,3,CM07_212_S183
NODE_35_length_53580_cov_21.335192_12,CE9(6-369),CE9(63),CE9,3,CM07_212_S183
NODE_35_length_53580_cov_21.335192_15,GH4(4-181),GH4(14),GH4,3,CM07_212_S183
NODE_3_length_237526_cov_20.293561_11,CE1(83-248),-,-,1,CM07_212_S183
NODE_3_length_237526_cov_20.293561_111,CE4(222-356),-,-,1,CM07_212_S183
NODE_3_length_237526_cov_20.293561_120,GT4(186-333),-,GT4,2,CM07_212_S183
NODE_3_length_237526_cov_20.293561_121,GT4(228-370),-,GT4,2,CM07_212_S183
NODE_3_length_237526_cov_20.293561_191,GT28(189-344),GT28(25),GT28,3,CM07_212_S183
NODE_3_length_237526_cov_20.293561_37,CE4(235-362),-,CE4,2,CM07_212_S183
NODE_3_length_237526_cov_20.293561_45,GT4(164-312),GT4(42),GT4,3,CM07_212_S183
NODE_3_length_237526_cov_20.293561_47,GT4(207-351),GT4(55),GT4,3,CM07_212_S183
NODE_3_length_237526_cov_20.293561_65,GH25(6-181),GH25(88),GH25,3,CM07_212_S183
NODE_3_length_237526_cov_20.293561_9,CE4(243-359),CE4(93),CE4,3,CM07_212_S183
NODE_41_length_37452_cov_21.250127_18,CE9(4-375),CE9(43),CE9,3,CM07_212_S183
NODE_48_length_21112_cov_21.175602_11,GH13_20(34-324),GH13(61),GH13,3,CM07_212_S183
NODE_52_length_15379_cov_21.293666_13,GH77(9-469),GH77(5),GH77,3,CM07_212_S183
NODE_52_length_15379_cov_21.293666_14,GT35(81-751),GT35(1),GT35,3,CM07_212_S183
NODE_5_length_220897_cov_24.295946_156,GH1(3-466),GH1(19),GH1,3,CM07_212_S183
NODE_5_length_220897_cov_24.295946_68,GT5(3-475),GT5(26),GT5,3,CM07_212_S183
NODE_6_length_207018_cov_25.421328_129,GH73(287-401),GH73(56),GH73,3,CM07_212_S183
NODE_6_length_207018_cov_25.421328_166,GH1(3-471),-,GH1,2,CM07_212_S183
NODE_7_length_204533_cov_22.763779_114,GH73(288-404),-,GH73,2,CM07_212_S183
NODE_7_length_204533_cov_22.763779_129,GH4(7-187),GH4(1),GH4,3,CM07_212_S183
NODE_7_length_204533_cov_22.763779_162,GH1(3-458),GH1(1),GH1,3,CM07_212_S183
NODE_7_length_204533_cov_22.763779_176,CE6(54-145),CE6(2),CE0,3,CM07_212_S183
NODE_7_length_204533_cov_22.763779_38,CE4(91-224),-,-,1,CM07_212_S183
NODE_8_length_201547_cov_23.812586_124,GH25(113-303),GH25(33),GH25,3,CM07_212_S183
NODE_8_length_201547_cov_23.812586_80,GH13_14(259-573),GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1),CBM48+GH13_14,3,CM07_212_S183
NODE_8_length_201547_cov_23.812586_82,GT35(96-799),GT35(1),GT35,3,CM07_212_S183
NODE_8_length_201547_cov_23.812586_84,GT2_Glycos_transf_2(4-145),GT2(18),GT2,3,CM07_212_S183
NODE_8_length_201547_cov_23.812586_89,GT2_Glycos_transf_2(36-199),GT2(83)+GT4(135)+GT8(43),GT2,3,CM07_212_S183
NODE_8_length_201547_cov_23.812586_90,GT2_Glycos_transf_2(8-160),GT2(115)+GT4(135),GT2,3,CM07_212_S183
NODE_8_length_201547_cov_23.812586_98,CBM48(21-104)+GH13_9(172-459),GH13(20)+CBM48(6),CBM48+GH13_9,3,CM07_212_S183
NODE_9_length_201161_cov_25.430320_103,GH43_24(22-267),GH43(91),GH43_24,3,CM07_212_S183
NODE_9_length_201161_cov_25.430320_125,GT51(50-221),GT51(13),GT51,3,CM07_212_S183
NODE_9_length_201161_cov_25.430320_128,CE9(6-365),-,CE9,2,CM07_212_S183
NODE_9_length_201161_cov_25.430320_25,GH170(3-340),-,GH170,2,CM07_212_S183
NODE_9_length_201161_cov_25.430320_6,GH1(3-456),GH1(6),GH1,3,CM07_212_S183
NODE_9_length_201161_cov_25.430320_77,GH4(6-183),GH4(2),GH4,3,CM07_212_S183
NODE_9_length_201161_cov_25.430320_8,GH38(3-254),GH38(10),GH38,3,CM07_212_S183
NODE_1_length_297271_cov_23.183921_22,-,GH0(66),-,1,CM07_212_S183
NODE_6_length_207018_cov_25.421328_202,-,GH23(34),GH23,2,CM07_212_S183
NODE_1_length_297271_cov_23.183921_277,-,GH23(34),GH23,2,CM07_212_S183
NODE_10_length_178616_cov_20.836365_83,-,GH23(34),GH23,2,CM07_212_S183
NODE_34_length_53860_cov_24.699328_48,-,GH23(34),GH23,2,CM07_212_S183
NODE_40_length_48947_cov_21.496436_35,-,GH23(34),GH23,2,CM07_212_S183
NODE_9_length_201161_cov_25.430320_126,-,GH23(192),-,1,CM07_212_S183
NODE_13_length_126818_cov_22.633163_16,-,GH32(46),-,1,CM07_212_S183
NODE_39_length_49600_cov_20.387019_32,-,GH38(8),-,1,CM07_212_S183
NODE_36_length_52412_cov_21.766721_1,-,CBM5(68),-,1,CM07_212_S183
NODE_3_length_237526_cov_20.293561_172,-,CBM5(68),-,1,CM07_212_S183
NODE_28_length_74339_cov_23.463631_42,-,CBM50(86),-,1,CM07_212_S183
NODE_30_length_72468_cov_19.753915_14,-,CBM6(53),-,1,CM07_212_S183
NODE_1_length_297271_cov_23.183921_61,-,-,GH23,1,CM07_212_S183
NODE_1_length_297271_cov_23.183921_82,-,-,GH23,1,CM07_212_S183
NODE_1_length_297271_cov_23.183921_131,-,-,GH23,1,CM07_212_S183
NODE_2_length_262997_cov_23.173493_91,-,-,GH23,1,CM07_212_S183
NODE_2_length_262997_cov_23.173493_124,-,-,GH23,1,CM07_212_S183
NODE_3_length_237526_cov_20.293561_133,-,-,GT2,1,CM07_212_S183
NODE_3_length_237526_cov_20.293561_159,-,-,GT4,1,CM07_212_S183
NODE_3_length_237526_cov_20.293561_207,-,-,CBM32,1,CM07_212_S183
NODE_4_length_226985_cov_20.363813_30,-,-,GH13_30,1,CM07_212_S183
NODE_4_length_226985_cov_20.363813_90,-,-,GT2,1,CM07_212_S183
NODE_4_length_226985_cov_20.363813_182,-,-,GH1,1,CM07_212_S183
NODE_4_length_226985_cov_20.363813_201,-,-,GT47,1,CM07_212_S183
NODE_4_length_226985_cov_20.363813_228,-,-,GT83,1,CM07_212_S183
NODE_5_length_220897_cov_24.295946_66,-,-,CBM48+GH13_9,1,CM07_212_S183
NODE_5_length_220897_cov_24.295946_139,-,-,CBM50,1,CM07_212_S183
NODE_5_length_220897_cov_24.295946_201,-,-,GH1,1,CM07_212_S183
NODE_7_length_204533_cov_22.763779_81,-,-,GH92,1,CM07_212_S183
NODE_7_length_204533_cov_22.763779_119,-,-,CBM50,1,CM07_212_S183
NODE_7_length_204533_cov_22.763779_149,-,-,GT1,1,CM07_212_S183
NODE_8_length_201547_cov_23.812586_29,-,-,GH13_31,1,CM07_212_S183
NODE_8_length_201547_cov_23.812586_95,-,-,GH25,1,CM07_212_S183
NODE_8_length_201547_cov_23.812586_99,-,-,GT2,1,CM07_212_S183
NODE_9_length_201161_cov_25.430320_39,-,-,GH13,1,CM07_212_S183
NODE_9_length_201161_cov_25.430320_78,-,-,GH4,1,CM07_212_S183
NODE_9_length_201161_cov_25.430320_83,-,-,GH84,1,CM07_212_S183
NODE_9_length_201161_cov_25.430320_157,-,-,GT58,1,CM07_212_S183
NODE_9_length_201161_cov_25.430320_187,-,-,GH13_11,1,CM07_212_S183
NODE_10_length_178616_cov_20.836365_169,-,-,GH152,1,CM07_212_S183
NODE_12_length_150407_cov_23.538342_23,-,-,GT4,1,CM07_212_S183
NODE_12_length_150407_cov_23.538342_24,-,-,GT4,1,CM07_212_S183
NODE_12_length_150407_cov_23.538342_28,-,-,GT0,1,CM07_212_S183
NODE_12_length_150407_cov_23.538342_38,-,-,GT0,1,CM07_212_S183
NODE_12_length_150407_cov_23.538342_57,-,-,GH3,1,CM07_212_S183
NODE_12_length_150407_cov_23.538342_75,-,-,GH23,1,CM07_212_S183
NODE_16_length_114176_cov_23.006594_83,-,-,GH23,1,CM07_212_S183
NODE_17_length_104734_cov_20.394591_52,-,-,GH13,1,CM07_212_S183
NODE_17_length_104734_cov_20.394591_55,-,-,GH28,1,CM07_212_S183
NODE_19_length_99012_cov_20.142398_3,-,-,GT4,1,CM07_212_S183
NODE_19_length_99012_cov_20.142398_57,-,-,GH13,1,CM07_212_S183
NODE_19_length_99012_cov_20.142398_62,-,-,GH28,1,CM07_212_S183
NODE_20_length_97048_cov_20.194891_58,-,-,GH23,1,CM07_212_S183
NODE_22_length_95322_cov_22.012679_15,-,-,GH1,1,CM07_212_S183
NODE_23_length_82287_cov_20.929138_15,-,-,GH23,1,CM07_212_S183
NODE_25_length_77091_cov_20.921184_38,-,-,GH130,1,CM07_212_S183
NODE_27_length_75082_cov_21.398586_45,-,-,CBM50,1,CM07_212_S183
NODE_27_length_75082_cov_21.398586_60,-,-,GT2,1,CM07_212_S183
NODE_29_length_72790_cov_21.436894_13,-,-,CBM50,1,CM07_212_S183
NODE_29_length_72790_cov_21.436894_15,-,-,GH73,1,CM07_212_S183
NODE_31_length_71804_cov_20.936884_12,-,-,GH23,1,CM07_212_S183
NODE_31_length_71804_cov_20.936884_42,-,-,CBM50+GH25,1,CM07_212_S183
NODE_32_length_69176_cov_26.584990_38,-,-,GH13_29,1,CM07_212_S183
NODE_32_length_69176_cov_26.584990_49,-,-,GT2,1,CM07_212_S183
NODE_33_length_68269_cov_24.691277_28,-,-,GH23,1,CM07_212_S183
NODE_35_length_53580_cov_21.335192_30,-,-,GT30,1,CM07_212_S183
NODE_38_length_49679_cov_26.435341_16,-,-,GH13_31,1,CM07_212_S183
NODE_38_length_49679_cov_26.435341_18,-,-,GH13_23,1,CM07_212_S183
NODE_39_length_49600_cov_20.387019_13,-,-,GH5_11,1,CM07_212_S183
NODE_45_length_26450_cov_20.298370_14,-,-,GT2,1,CM07_212_S183
NODE_51_length_16319_cov_24.443244_14,-,-,CBM50,1,CM07_212_S183
NODE_54_length_11563_cov_24.622508_8,-,-,GH38,1,CM07_212_S183
NODE_10_length_140100_cov_11.831482_116,GH1(4-483),GH1(11),GH1,3,CM1_51A_S205
NODE_10_length_140100_cov_11.831482_26,GH1(2-486),GH1(1),GH1,3,CM1_51A_S205
NODE_10_length_140100_cov_11.831482_28,GH1(2-391),-,GH1,2,CM1_51A_S205
NODE_10_length_140100_cov_11.831482_72,GH1(2-458),GH1(11),GH1,3,CM1_51A_S205
NODE_11_length_138520_cov_10.558670_1,GH1(7-473),GH1(11),GH1,3,CM1_51A_S205
NODE_12_length_135919_cov_11.531173_13,GH1(1-476),GH1(57),GH1,3,CM1_51A_S205
NODE_12_length_135919_cov_11.531173_136,GT2_Glycos_transf_2(5-150),GT2(193),GT2,3,CM1_51A_S205
NODE_12_length_135919_cov_11.531173_15,GH1(6-478),GH1(7),GH1,3,CM1_51A_S205
NODE_12_length_135919_cov_11.531173_23,GH109(1-135),-,-,1,CM1_51A_S205
NODE_13_length_120258_cov_8.584970_76,CE4(91-224),-,-,1,CM1_51A_S205
NODE_15_length_101301_cov_10.325489_30,CBM48(21-104)+GH13_9(172-459),GH13(20)+CBM48(6),CBM48+GH13_9,3,CM1_51A_S205
NODE_15_length_101301_cov_10.325489_38,GT2_Glycos_transf_2(8-160),GT2(115)+GT4(135),GT2,3,CM1_51A_S205
NODE_15_length_101301_cov_10.325489_39,GT2_Glycos_transf_2(36-199),GT2(83)+GT4(135)+GT8(43),GT2,3,CM1_51A_S205
NODE_15_length_101301_cov_10.325489_4,GH25(113-303),GH25(33),GH25,3,CM1_51A_S205
NODE_15_length_101301_cov_10.325489_44,GT2_Glycos_transf_2(4-145),GT2(18),GT2,3,CM1_51A_S205
NODE_15_length_101301_cov_10.325489_46,GT35(96-799),GT35(1),GT35,3,CM1_51A_S205
NODE_15_length_101301_cov_10.325489_48,GH13_14(259-573),GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1),CBM48+GH13_14,3,CM1_51A_S205
NODE_16_length_99563_cov_9.609508_6,CE9(4-375),CE9(43),CE9,3,CM1_51A_S205
NODE_18_length_90927_cov_9.245804_24,GH1(9-488),GH1(45),GH1,3,CM1_51A_S205
NODE_18_length_90927_cov_9.245804_56,CBM66(237-391)+GH32(524-831)+CBM66(1094-1257),GH32(3)+CBM38(1)+CBM66(1),CBM66+GH32,3,CM1_51A_S205
NODE_18_length_90927_cov_9.245804_59,GH170(3-359),-,GH170,2,CM1_51A_S205
NODE_19_length_89885_cov_9.759966_19,GH1(6-257),GH1(48),-,2,CM1_51A_S205
NODE_19_length_89885_cov_9.759966_61,GT14(3-256),-,GT0,2,CM1_51A_S205
NODE_20_length_88795_cov_8.887400_10,GH13_20(34-324),GH13(61),GH13,3,CM1_51A_S205
NODE_20_length_88795_cov_8.887400_64,GH1(1-476),GH1(1),GH1,3,CM1_51A_S205
NODE_22_length_83327_cov_8.664627_36,CE4(222-356),-,-,1,CM1_51A_S205
NODE_22_length_83327_cov_8.664627_45,GT4(186-333),-,GT4,2,CM1_51A_S205
NODE_22_length_83327_cov_8.664627_46,GT4(228-370),-,GT4,2,CM1_51A_S205
NODE_24_length_81591_cov_11.591881_11,GH1(7-477),GH1(11),GH1,3,CM1_51A_S205
NODE_24_length_81591_cov_11.591881_35,GH13_29(25-368),GH13(3),GH13_29,3,CM1_51A_S205
NODE_24_length_81591_cov_11.591881_40,CE4(44-150),CE4(84),CE4,3,CM1_51A_S205
NODE_24_length_81591_cov_11.591881_67,GH1(7-480),GH1(2),GH1,3,CM1_51A_S205
NODE_25_length_72787_cov_8.453441_23,GH112(6-720),GH112(1),GH112,3,CM1_51A_S205
NODE_25_length_72787_cov_8.453441_63,CE4(241-356),CE4(67),CE4,3,CM1_51A_S205
NODE_27_length_70838_cov_8.578892_19,GH1(3-458),GH1(1),GH1,3,CM1_51A_S205
NODE_27_length_70838_cov_8.578892_5,CE6(54-145),CE6(2),CE0,3,CM1_51A_S205
NODE_27_length_70838_cov_8.578892_52,GH4(7-187),GH4(1),GH4,3,CM1_51A_S205
NODE_27_length_70838_cov_8.578892_67,GH73(288-404),-,GH73,2,CM1_51A_S205
NODE_29_length_65240_cov_9.351189_17,GH32(9-308),GH32(38)+CBM38(7),GH32,3,CM1_51A_S205
NODE_2_length_188432_cov_10.576878_140,GT5(3-475),GT5(26),GT5,3,CM1_51A_S205
NODE_2_length_188432_cov_10.576878_53,GH1(3-466),GH1(19),GH1,3,CM1_51A_S205
NODE_30_length_59361_cov_7.692373_13,GH109(2-165),-,-,1,CM1_51A_S205
NODE_30_length_59361_cov_7.692373_34,CE1(14-249),-,-,1,CM1_51A_S205
NODE_30_length_59361_cov_7.692373_52,GT51(45-213),GT51(58),GT51,3,CM1_51A_S205
NODE_31_length_55502_cov_10.329409_36,GH1(7-467),GH1(66),GH1,3,CM1_51A_S205
NODE_32_length_54215_cov_11.154434_13,GH1(3-471),-,GH1,2,CM1_51A_S205
NODE_33_length_53614_cov_9.299606_1,CE4(240-369),CE4(67),CE4,3,CM1_51A_S205
NODE_33_length_53614_cov_9.299606_12,CE9(6-369),CE9(63),CE9,3,CM1_51A_S205
NODE_33_length_53614_cov_9.299606_15,GH4(4-181),GH4(14),GH4,3,CM1_51A_S205
NODE_35_length_52308_cov_8.504264_15,CE4(235-362),-,CE4,2,CM1_51A_S205
NODE_35_length_52308_cov_8.504264_23,GT4(164-312),GT4(42),GT4,3,CM1_51A_S205
NODE_35_length_52308_cov_8.504264_25,GT4(207-351),GT4(55),GT4,3,CM1_51A_S205
NODE_35_length_52308_cov_8.504264_43,GH25(6-181),GH25(88),GH25,3,CM1_51A_S205
NODE_39_length_44202_cov_10.452592_44,GH1(5-480),GH1(11),GH1,3,CM1_51A_S205
NODE_3_length_182978_cov_11.672903_10,GH170(3-340),-,GH170,2,CM1_51A_S205
NODE_3_length_182978_cov_11.672903_110,GT51(50-221),GT51(13),GT51,3,CM1_51A_S205
NODE_3_length_182978_cov_11.672903_113,CE9(6-365),-,CE9,2,CM1_51A_S205
NODE_3_length_182978_cov_11.672903_62,GH4(6-183),GH4(2),GH4,3,CM1_51A_S205
NODE_3_length_182978_cov_11.672903_88,GH43_24(22-267),GH43(91),GH43_24,3,CM1_51A_S205
NODE_44_length_40363_cov_12.431703_34,GH38(5-277),-,GH38,2,CM1_51A_S205
NODE_49_length_23698_cov_8.253617_12,CE1(83-248),-,-,1,CM1_51A_S205
NODE_49_length_23698_cov_8.253617_14,CE4(243-359),CE4(93),CE4,3,CM1_51A_S205
NODE_4_length_177248_cov_7.768734_165,GT51(309-503),-,GT51,2,CM1_51A_S205
NODE_4_length_177248_cov_7.768734_167,GT51(73-270),-,GT51,2,CM1_51A_S205
NODE_4_length_177248_cov_7.768734_3,GH1(2-470),GH1(1),GH1,3,CM1_51A_S205
NODE_4_length_177248_cov_7.768734_65,GH1(5-486),GH1(1),GH1,3,CM1_51A_S205
NODE_5_length_168302_cov_8.954036_139,GT4(226-375),-,GT4,2,CM1_51A_S205
NODE_5_length_168302_cov_8.954036_142,GT2_Glycos_transf_2(7-120),-,GT2,2,CM1_51A_S205
NODE_5_length_168302_cov_8.954036_147,GT2_Glycos_transf_2(7-138),-,GT2,2,CM1_51A_S205
NODE_5_length_168302_cov_8.954036_26,GT28(189-344),GT28(25),GT28,3,CM1_51A_S205
NODE_61_length_18526_cov_11.630197_10,GH38(3-254),GH38(10),GH38,3,CM1_51A_S205
NODE_61_length_18526_cov_11.630197_12,GH1(3-456),GH1(6),GH1,3,CM1_51A_S205
NODE_67_length_15534_cov_8.100733_2,GT35(81-751),GT35(1),GT35,3,CM1_51A_S205
NODE_67_length_15534_cov_8.100733_3,GH77(9-469),GH77(5),GH77,3,CM1_51A_S205
NODE_6_length_163320_cov_9.321852_7,GH109(1-149),-,-,1,CM1_51A_S205
NODE_6_length_163320_cov_9.321852_81,GH1(3-459),-,GH1,2,CM1_51A_S205
NODE_7_length_159694_cov_11.176051_36,GT4(195-335),-,GT4,2,CM1_51A_S205
NODE_7_length_159694_cov_11.176051_41,GH109(2-174),-,-,1,CM1_51A_S205
NODE_8_length_146497_cov_11.576040_121,GH73(287-401),GH73(56),GH73,3,CM1_51A_S205
NODE_9_length_143314_cov_9.710099_38,GH112(6-717),GH112(1),GH112,3,CM1_51A_S205
NODE_11_length_138520_cov_10.558670_125,-,GH0(66),-,1,CM1_51A_S205
NODE_32_length_54215_cov_11.154434_49,-,GH23(34),GH23,2,CM1_51A_S205
NODE_23_length_83126_cov_11.661153_88,-,GH23(34),GH23,2,CM1_51A_S205
NODE_62_length_18378_cov_10.280149_10,-,GH23(34),GH23,2,CM1_51A_S205
NODE_51_length_23129_cov_8.066603_14,-,GH23(34),GH23,2,CM1_51A_S205
NODE_41_length_42633_cov_8.722063_14,-,GH23(34),GH23,2,CM1_51A_S205
NODE_3_length_182978_cov_11.672903_111,-,GH23(192),-,1,CM1_51A_S205
NODE_29_length_65240_cov_9.351189_16,-,GH32(46),-,1,CM1_51A_S205
NODE_21_length_85887_cov_7.924499_56,-,GH38(8),-,1,CM1_51A_S205
NODE_69_length_14975_cov_10.075364_5,-,CBM5(68),-,1,CM1_51A_S205
